Song Title	Artist	Album	Genre	Duration (seconds)	Release Year
Lonely Dream	Happy Star	Dream Voices	Country	301	2019
Silent Shadow	Happy Wave	Wave Days	Rock	355	1987
Happy Echo	Mystic Star	Whisper Voices	Classical	313	2018
Lonely Moon	Windy Sky	Shadow Nights	Jazz	163	2009
Lonely Heart	Red Sky	Echo Days	Hip Hop	199	1991
Mystic Dream	Broken Star	Star Vibes	Classical	182	1983
Windy Whisper	Broken Heart	Moon Days	Pop	196	1993
Happy Shadow	Eternal Dream	Heart Lights	Classical	167	2004
Eternal Heart	Mystic Heart	Echo Days	Hip Hop	196	1984
Windy Moon	Falling Dream	Whisper Colors	Jazz	269	2002
Happy Moon	Lonely Sky	Star Nights	Jazz	240	2009
Mystic Shadow	Broken Star	Sky Vibes	Electronic	138	2018
Golden Heart	Broken Dream	Dream Lights	Country	209	1991
Silent Dream	Silent Sky	Flame Sounds	Country	133	1994
Broken Sky	Red Shadow	Star Days	Country	342	1998
Red Wave	Golden Flame	Shadow Colors	Rock	212	2005
Broken Shadow	Red Sky	Flame Voices	Pop	356	1983
Red Whisper	Silent Sky	Flame Nights	Classical	225	2017
Lonely Sky	Silent Whisper	Flame Voices	Pop	333	1987
Lonely Flame	Golden Dream	Sky Vibes	Electronic	126	2009
Red Heart	Eternal Dream	Shadow Voices	Hip Hop	220	1994
Silent Dream	Red Shadow	Star Voices	Electronic	168	1991
Golden Moon	Lonely Dream	Shadow Lights	Electronic	160	1989
Lonely Sky	Windy Shadow	Heart Voices	Jazz	274	1991
Lonely Moon	Happy Dream	Dream Colors	Country	278	1996
Silent Heart	Falling Echo	Flame Sounds	Classical	253	2019
Red Heart	Happy Echo	Echo Colors	Rock	263	1981
Happy Whisper	Golden Whisper	Heart Sounds	Pop	311	1998
Windy Shadow	Falling Shadow	Whisper Colors	Rock	349	2008
Silent Whisper	Golden Wave	Moon Sounds	Country	157	1980
Happy Whisper	Red Echo	Heart Sounds	Country	179	2001
Mystic Wave	Falling Heart	Shadow Vibes	Pop	233	2004
Golden Flame	Lonely Echo	Echo Colors	Jazz	215	1989
Broken Flame	Silent Whisper	Heart Voices	Hip Hop	216	1988
Red Shadow	Falling Dream	Wave Colors	Classical	360	1998
Silent Whisper	Silent Heart	Echo Sounds	Electronic	328	1991
Falling Echo	Mystic Sky	Moon Vibes	Jazz	152	2008
Eternal Shadow	Happy Whisper	Echo Voices	Country	182	1997
Broken Star	Falling Shadow	Dream Sounds	Country	258	1995
Mystic Wave	Lonely Wave	Dream Vibes	Classical	260	1983
Eternal Shadow	Falling Whisper	Shadow Nights	Jazz	213	2022
Red Dream	Falling Dream	Flame Voices	Electronic	184	2004
Happy Dream	Red Moon	Echo Vibes	Electronic	277	2001
Red Sky	Mystic Flame	Dream Sounds	Country	210	2008
Silent Whisper	Lonely Moon	Sky Nights	Hip Hop	351	2001
Happy Heart	Red Dream	Whisper Lights	Electronic	270	1994
Red Shadow	Mystic Star	Whisper Days	Electronic	267	1981
Golden Sky	Lonely Sky	Star Colors	Pop	253	1992
Golden Echo	Red Star	Flame Nights	Hip Hop	156	1991
Silent Echo	Broken Sky	Heart Voices	Pop	203	2005
Happy Moon	Broken Moon	Star Nights	Rock	247	2019
Eternal Wave	Silent Heart	Shadow Nights	Jazz	348	1991
Falling Sky	Eternal Star	Dream Lights	Country	125	2006
Falling Sky	Golden Sky	Moon Vibes	Electronic	212	2014
Red Shadow	Falling Wave	Star Lights	Rock	324	1981
Broken Moon	Red Shadow	Dream Voices	Pop	274	1996
Golden Whisper	Lonely Wave	Star Colors	Electronic	203	1981
Windy Whisper	Golden Shadow	Sky Days	Jazz	260	1996
Broken Echo	Golden Heart	Whisper Days	Pop	350	2013
Mystic Heart	Falling Sky	Star Voices	Hip Hop	255	2013
Lonely Sky	Red Dream	Whisper Vibes	Hip Hop	300	2018
Mystic Heart	Golden Flame	Heart Sounds	Country	200	2020
Golden Moon	Broken Star	Whisper Sounds	Electronic	277	1988
Silent Moon	Happy Flame	Wave Nights	Rock	120	1993
Windy Whisper	Silent Flame	Heart Nights	Country	335	2022
Eternal Wave	Silent Heart	Flame Days	Electronic	327	1999
Red Whisper	Silent Moon	Heart Nights	Electronic	194	2012
Silent Sky	Windy Moon	Wave Days	Electronic	251	2003
Broken Star	Happy Whisper	Moon Nights	Classical	181	1984
Windy Wave	Happy Sky	Sky Voices	Electronic	187	2011
Eternal Echo	Golden Moon	Whisper Colors	Electronic	264	2002
Eternal Whisper	Happy Star	Moon Lights	Country	232	1980
Silent Moon	Golden Star	Shadow Days	Jazz	321	2017
Falling Shadow	Windy Whisper	Star Sounds	Classical	204	2011
Broken Flame	Silent Shadow	Sky Vibes	Jazz	236	1995
Broken Moon	Mystic Shadow	Star Days	Country	349	1999
Eternal Dream	Silent Heart	Sky Lights	Hip Hop	176	1995
Falling Flame	Red Star	Whisper Vibes	Jazz	182	1992
Golden Dream	Eternal Moon	Sky Vibes	Rock	304	1990
Lonely Flame	Red Sky	Wave Vibes	Rock	168	2021
Silent Shadow	Eternal Flame	Echo Lights	Hip Hop	265	1996
Windy Shadow	Red Star	Star Voices	Country	237	1986
Falling Whisper	Silent Wave	Whisper Colors	Rock	305	2001
Lonely Star	Silent Shadow	Whisper Voices	Classical	129	2010
Lonely Moon	Lonely Shadow	Sky Voices	Country	356	1983
Broken Echo	Red Whisper	Flame Colors	Rock	310	1996
Golden Moon	Eternal Echo	Echo Nights	Pop	199	1980
Broken Wave	Happy Shadow	Dream Nights	Hip Hop	350	1981
Eternal Heart	Golden Wave	Moon Nights	Hip Hop	326	2012
Mystic Shadow	Falling Moon	Flame Lights	Hip Hop	281	2023
Eternal Shadow	Falling Wave	Whisper Days	Country	252	1998
Silent Sky	Lonely Shadow	Flame Colors	Classical	264	1998
Red Star	Silent Shadow	Sky Colors	Electronic	348	2002
Eternal Star	Red Echo	Dream Vibes	Hip Hop	191	1995
Lonely Shadow	Silent Dream	Heart Vibes	Classical	182	1995
Happy Whisper	Eternal Echo	Flame Voices	Rock	143	2008
Red Dream	Silent Dream	Heart Nights	Pop	211	1987
Falling Moon	Windy Moon	Shadow Sounds	Country	230	2007
Happy Heart	Silent Echo	Star Sounds	Rock	127	2004
Happy Dream	Golden Whisper	Whisper Vibes	Electronic	142	2004
Lonely Dream	Windy Heart	Moon Vibes	Rock	218	1992
Happy Whisper	Silent Star	Whisper Colors	Classical	278	1993
Windy Flame	Golden Star	Wave Nights	Hip Hop	200	1998
Lonely Moon	Red Echo	Shadow Colors	Pop	275	1994
Happy Wave	Windy Wave	Sky Colors	Classical	167	1994
Golden Shadow	Golden Whisper	Moon Colors	Classical	359	2000
Eternal Echo	Lonely Sky	Heart Nights	Hip Hop	234	1987
Falling Heart	Golden Whisper	Moon Voices	Jazz	131	2023
Golden Shadow	Falling Dream	Heart Lights	Hip Hop	335	2007
